rest_name,address_rd,price_range,pri_category,sec_category,collection,comments,rating,likes,dislikes
唇茶 (堪富利士道) Tea Only (Humphreys Avenue),堪富利士道,$50以下,港式/粵菜,"快餐店,少鹽少糖食店",4939,92,4.3,62,0
Sweet Scoop,廣東道,$50以下,港式/粵菜,food-court,139,19,3.3,6,3
蟹仙海鮮私房．蒸氣石碢 (環海大廈) Crab Fairy (Universal Mansion),天文臺道,$201-400,港式/粵菜,"快餐店,少鹽少糖食店",9603,399,4.4,352,18
江記大閘蟹專門店,加連威老道,$51-100,港式/粵菜,大閘蟹,1826,28,3.3,13,2
翠林辣蟹舫 Greenland Spicy Crab,亞士厘道,$101-200,港式/粵菜,中菜館,21445,847,4.4,770,21
上三兩 Sexy Crab,梳士巴利道,$201-400,多國菜,蟹店,10996,66,3.8,39,7
名代宇奈備長炭燒鰻魚飯專門店 (iSQUARE國際廣場) Nadai Unatoto Charcoal Grilled Eel Specialty (iSQUARE),彌敦道,$51-100,日本菜,"居酒屋,串燒",11704,213,3.5,86,20
幸福鳥 Shiawase Yakitori,河內道,$101-200,日本菜,"居酒屋,串燒",21913,227,4.2,178,8
新世界韓式食品,金巴利道,$50以下,其他亞洲菜,烤肉,2584,62,3.6,37,3
割烹 櫓杏 (iSQUARE國際廣場) Kappo Ro Ann (iSQUARE),彌敦道,$401-800,日本菜,fine-dining,29066,199,4.3,131,5
焼肉而今 by 富小路やま岸 Yakiniku JIKON by Tominokoji Yamagishi,梳士巴利道,$401-800,日本菜,懷石料理,19072,70,4.2,48,4
一字記之曰心,科學館道,$50以下,其他中菜,韓式炸雞,141,15,4.3,14,0
福岡漢堡扒 Fukuoka Hambageu,厚福街,$101-200,日本菜,烤肉,14803,529,4.2,447,10
金饃坊,加連威老道,$50以下,其他中菜,中菜館,671,14,4.1,11,0
山東餃子花膠湯飯專門店 Shandong Dumplings and Soup Rice,嘉蘭圍,$51-100,其他中菜,,213,12,4.2,11,0
立鮨 (金馬倫廣場) Sushi Tachi (Cameron Plaza),金馬倫道,$101-200,日本菜,壽司-刺身,16550,342,4.1,242,11
蒲仙味滷麵,堪富利士道,$51-100,港式/粵菜,中菜館,1895,14,3.2,6,0
莆田 (美麗華廣場2期) PUTIEN (Mira Place Two),彌敦道,$101-200,其他中菜,"點心,酒樓,山珍海味",11436,717,4.2,663,4
噹噹牛涮鍋 Don Don Shabu Shabu,漆咸道,$101-200,日本菜,火鍋,925,17,3.8,4,1
江浙滬 (堪富利士道) Jiangsu & Zhejiang (Humphreys Avenue),堪富利士道,$101-200,其他中菜,中菜館,7408,117,4.1,89,6
富小路やま岸 Tominokoji Yamagishi,梳士巴利道,$801以上,日本菜,懷石料理,10328,39,4.3,26,3
唐包點 Tong Bao Dim,港鐵尖東站,$50以下,港式/粵菜,"中式糖水,粥品,點心,中式包點",215,31,3.9,23,0
韓 炸雞 & 小食 HAN Chicken & Snack,梳士巴利道,$51-100,其他亞洲菜,韓式炸雞,2477,71,4.2,59,0
Red MR (加拿分道),加拿分道,$101-200,多國菜,"串燒,卡拉ok,適合大夥人",1177,38,3.6,15,4
禾牛薈火煱館 (所有分店) Great Beef Hotpot (Cameron Road),金馬倫道,$201-400,港式/粵菜,火鍋,14083,497,4.1,365,9
古琴雅苑 (太子集團中心) Zither Garden (Prince Tower),北京道,$201-400,其他中菜,中菜館,36596,409,4,288,21
天香樓 Tin Heung Lau,柯士甸道,$401-800,其他中菜,"山珍海味,中菜館,同客食飯,大閘蟹,適合大夥人",7240,103,3.6,56,19
元豐園 Won PungWon Korean Restaurant,寶勒巷,$101-200,其他亞洲菜,烤肉,7855,142,3.4,72,28
圓鐵板燒 Xpress Teppanyaki,廣東道,$51-100,日本菜,鐵板燒,1019,38,3.5,17,2
Season Plus,山林道,$101-200,西式,中菜館,18212,562,4,474,23
Oyster To Go,山林道,$101-200,西式,中菜館,8465,55,4.1,27,2
Oasis Bar & Grill,諾士佛臺,$201-400,多國菜,酒吧,30970,967,4.4,896,13
牛一 (國際廣場) Nabe One (iSQUARE),彌敦道,$101-200,日本菜,火鍋,528,5,4.5,1,1
牛気 (The ONE) Nabe Urawa (The ONE),彌敦道,$101-200,日本菜,火鍋,15342,170,3.8,99,8
Quenches Hot & Cold 飲品,廣東道,$50以下,港式/粵菜,food-court,23,3,3.2,1,0
